Регіон,1950,1960,1970,1990,2000,2012,2014,2019
Крим,230.0,206.0,160.0,130,73,126,111.44,80.17391304347827
Вінницька,224.0,192.0,142.0,124,84,112,109.0,76.0
Волинська,247.0,250.0,179.0,153,112,148,141.0,101.0
Дніпропетровська,204.0,204.0,151.0,123,71,112,111.0,71.0
Донецька,271.0,214.0,140.0,109,61,98,82.0,80.17391304347827
Житомирська,261.0,223.0,159.0,129,89,122,120.0,79.0
Закарпатська,314.0,273.0,207.0,168,115,151,146.0,104.0
Запорізька,219.0,197.0,150.0,124,71,106,106.0,68.0
Івано-Франківська,243.0,248.0,182.0,155,103,124,122.0,88.0
Київська,204.0,189.0,156.0,123,73,122,121.0,80.0
Кіровоградська,216.0,171.0,145.0,126,79,110,108.0,68.0
Луганська,262.0,235.0,144.0,116,62,96,51.0,80.17391304347827
Львівська,234.0,240.0,171.0,140,91,119,119.0,87.0
Миколаївська,211.0,194.0,155.0,137,80,115,112.0,71.0
Одеська,241.0,192.0,148.0,126,80,127,123.0,88.0
Полтавська,186.0,163.0,131.0,118,70,99,100.0,65.0
Рівненська,269.0,267.0,193.0,158,118,159,148.0,107.0
Сумська,216.0,184.0,132.0,115,70,97,92.0,60.0
Тернопільська,213.0,216.0,157.0,142,92,113,109.0,76.0
Харківська,197.0,173.0,140.0,114,68,99,101.0,68.0
Херсонська,208.0,214.0,166.0,143,85,117,115.0,81.0
Хмельницька,234.0,198.0,148.0,129,85,113,112.0,79.0
Черкаська,205.0,179.0,144.0,123,75,100,98.0,64.0
Чернівецька,247.0,218.0,170.0,148,101,128,129.0,92.0
Чернігівська,220.0,183.0,127.0,108,69,94,90.0,61.0
Київ,231.04,174.0,159.0,120,73,120,121.0,110.0
Севастополь,231.04,207.57692307692307,156.0,125,70,120,111.44,80.17391304347827
